nom,lat_coor1,x,long_coor1,y,adr_num,adr_voie,com_cp,com_insee,com_nom,acc,acc_lib,acc_pcsec,acc_acc,acc_etg,acc_complt,photo1,photo2,disp_j,disp_h,disp_compl,tel1,tel2,site_email,date_insta,etat_fonct,fab_siren,fab_rais,mnt_siren,mnt_rais,modele,num_serie,id_euro,lc_ped,dtpr_lcped,dtpr_lcad,dtpr_bat,freq_mnt,dispsurv,dermnt,expt_siren,expt_rais,expt_tel1,expt_tel2,expt_email,ref,id,appartenan,dae_mobile,date1insta,chgtpiles
Ecole maternelle James-Joyce,3.81791314285696,766028.5889,43.6281074894343,6281348.6254,122,rue de Bologne,34080,34172,Montpellier,intérieur,non,non,non,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables,Fermeture possible pendant les vacances scolaires,334 67 75 34 87, , ,2019-12-01,En fonctionnement, ,ZOLL, , ,AED PLUS,X19J215764, , ,2021-08-17,2024-12-28,2024-12-01,Tous les ans, ,2019-12-01,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr, ,97,Mairie,non,,
Ecole élémentaire Léopold Sedar Senghor,3.81791532192905,766029.4552,43.6275077620567,6281281.9782,26,rue de Bologne,34080,34172,Montpellier,intérieur,non,non,non,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables,Fermeture possible pendant les vacances scolaires,334 67 75 34 79, , ,2019-12-01,En fonctionnement, ,ZOLL, , ,AED PLUS,X19J215979, , ,2021-08-17,2024-12-28,2024-12-01,Tous les ans, ,2019-12-01,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr, ,100,Mairie,non,,
Ecole maternelle Robert-Surcouf -Ecole élémentaire Georges Simenon,3.8714435810918,770390.0854,43.5952872148722,6277747.4494,215,boulevard Pédro-de-Luna,34070,34172,Montpellier,intérieur,non,non,non,0,DAE sur ECOLE SURCOUF, , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables,Fermeture possible pendant les vacances scolaires,334 67 42 45 23,334 67 42 47 20, ,2019-12-01,En fonctionnement, ,ZOLL, , ,AED PLUS,X19J214036, , ,2021-08-17,2024-12-28,2024-12-01,Tous les ans, ,2019-12-01,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr, ,102,Mairie,non,,
Ecole maternelle Jules-Michelet - Ecole élémentaire Joseph Delteil,3.83873856808814,767724.3925,43.6156815982488,6279985.343,-,Rue des Araucarias,34080,34172,Montpellier,intérieur,non,non,non,0,DAE sur Ecole MICHELET, , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables,Fermeture possible pendant les vacances scolaires,334 67 10 06 05,334 67 10 05 76, ,2019-12-01,En fonctionnement, ,ZOLL, , ,AED PLUS,X19J215729, , ,2021-08-17,2024-12-28,2024-12-01,Tous les ans, ,2019-12-01,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr, ,98,Mairie,non,,
Ecole maternelle Mozart,3.86164748235704,769572.566,43.6169568463152,6280146.9812,60,avenue d'Assas,34000,34172,Montpellier,intérieur,non,non,non,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables,Fermeture possible pendant les vacances scolaires,334 67 63 15 61, , ,2019-12-01,En fonctionnement, ,ZOLL, , ,AED PLUS,X19J215900, , ,2021-08-17,2024-12-28,2024-12-01,tous les ans, ,2019-12-01,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr, ,99,Mairie,non,,
Piscine centre nautique neptune,3.81486877448227,765791.7,43.6203748790079,6280486.74,-,-,0,34172,Montpellier, , , , ,0, , , , , , ,-, , , , , , , , , , , , , , , , , , , , , , , , ,44,Métropole, ,,
Piscine Olympique Antigone,3.89308121814824,772122.49,43.6074454556324,6279118.16, ,-,0,34172,Montpellier, , , , ,0, , , , , , ,-, , , , , , , , , , , , , , , , , , , , , , , , ,43,Métropole, ,,
Ecole élémentaire Jules Ferry,3.87456248737726,770591.6684,43.6361784369411,6282294.5687,88,rue Antoine-Laurent de Jussieu,34090,34172,Montpellier,intérieur,non,non,non,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables,Fermeture possible pendant les vacances scolaires,334 67 54 41 71, , ,2019-12-01,En fonctionnement, ,ZOLL, , ,AED PLUS,X19J214251, , ,2021-08-17,2024-12-28,2024-12-01,Tous les ans, ,2019-12-01,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr, ,101,Mairie,non,,
Ecole primaire Olympe-de-Gouges,3.84625931433135,768361.1236,43.5909248113857,6277240.5104,1375,rue de Bugarel,34070,34172,Montpellier,intérieur,non,non,non,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables,Fermeture possible pendant les vacances scolaires,334 67 99 18 21, , ,2019-12-01,En fonctionnement, ,ZOLL, , ,AED PLUS,X19J215343, , ,2021-08-17,2024-12-28,2024-12-01,Tous les ans, ,2019-12-01,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr, ,104,Mairie,non,,
Ecole élémentaire Julie Daubie,3.84232778339953,768009.5784,43.6195753592669,6280421.1518,183,allée de l'Aqueduc,34080,34172,Montpellier,intérieur,non,non,non,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables,Fermeture possible pendant les vacances scolaires,334 67 63 01 26, , ,2019-12-01,En fonctionnement, ,ZOLL, , ,AED PLUS,X19J215374, , ,2021-08-17,2024-12-28,2024-12-01,Tous les ans, ,2019-12-01,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr, ,105,Mairie,non,,
Ecole maternelle Paul-Eluard - Ecole élémentaire Jean Macé,3.89640622981796,772409.3207,43.5929214621688,6277507.1062,219 - 289,rue de Saint Hilaire 34000 Montpellier,34000,34172,Montpellier,intérieur,non,non,non,0,DAE sur Ecole ELUARD, , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables,Fermeture possible pendant les vacances scolaires,334 67 64 40 54,334 67 64 40 60, ,2019-12-01,En fonctionnement, ,ZOLL, , ,AED PLUS,X19J215302, , ,2021-08-17,2024-12-28,2024-12-01,Tous les ans, ,2019-12-01,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr, ,106,Mairie,non,,
Multi accueil La Coupole,3.8909115988768,771946.807,43.6078271911951,6279158.604,45,place Zeus,34000,34172,Montpellier,intérieur,non,non,non,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,334 67 64 06 62, , ,2019-12-01,En fonctionnement, ,ZOLL, , ,AED PLUS,X19J215718, , ,2021-08-17,2024-12-28,2024-12-01,Tous les ans, ,2019-12-01,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr, ,108,Mairie,non,,
Ecole élémentaire Léo Malet,3.8316349046765,767154.1695,43.6128240251644,6279661.7054,5,allée Pierre Carabasse,34000,34172,Montpellier,intérieur,non,non,non,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables,Fermeture possible pendant les vacances scolaires,334 67 75 46 45, , ,2019-12-01,En fonctionnement, ,ZOLL, , ,AED PLUS,X19J215375, , ,2021-08-17,2024-12-28,2024-12-01,Tous les ans, ,2019-12-01,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr, ,107,Mairie,non,,
Salle Polyvalente Espace Jacques 1er d'Aragon,3.89812267566427,772533.4168,43.6044300520134,6278787.668,117,rue des états généraux,34000,34172,Montpellier,intérieur,non,non,non,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,334 67 83 71 86, , ,2019-12-01,En fonctionnement, ,ZOLL, , ,AED PLUS,X19J215498, , ,2021-08-17,2024-12-28,2024-12-01,Tous les ans, ,2019-12-01,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr, ,109,Mairie,non,,
Zoo de Lunaret,3.87388024883192,770532.41,43.6395873179815,6282672.79,50,avenue agropolis,34090,34172,Montpellier,intérieur,oui,non,oui,0, , , ,"mardi, mercredi, jeudi, vendredi, samedi, dimanche",Heures ouvrables, ,334 67 54 45 20, , ,2017-12-1,En fonctionnement, ,ZOLL, , ,AED PLUS,X17H948887, ,oui,2021-03-16,2023-01-14,2022-12-1,tous les ans, ,2019-05-14,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr,CORNIER,3,Mairie,non,,
Service surveillance voie publique (ASVP),3.87964813129678,771028.99,43.6144971002654,6279889.65,8,avenue Louis Blanc,34000,34172,Montpellier,intérieur,non,non,oui,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,334 99 58 80 34, , ,2017-12-1,En fonctionnement, ,ZOLL, , ,AED PLUS,X17I955750, ,oui,2021-02-02,2023-01-14,2022-12-1,tous les ans, ,2019-11-07,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr,CAMPOURCY bruno,14,Mairie,non,,
Hotel de Ville Central park,3.89553805176529,772331.0771,43.5993615952129,6278222.0245,1,place Georges Frêche,34000,34172,Montpellier,intérieur,non,non,non,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,334 67 34 70 00, , ,2017-12-1,En fonctionnement, ,ZOLL, , ,AED PLUS,X17I955724, ,oui,2020-11-10,2023-01-14,2022-12-1,tous les ans, ,2019-05-15,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr,FROMENTY Laure,5,Mairie,non,,
Poste de police Ecusson Centre ville,3.87860752258093,770956.69,43.6050174875771,6278835.22,19 bis,rue durand,34000,34172,Montpellier,intérieur,oui,non,oui,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,334 67 34 70 89, , ,2017-12-1,En fonctionnement, ,ZOLL, , ,AED PLUS,X17H948897, ,oui,2021-02-09,2023-01-14,2022-12-1,tous les ans, ,2019-04-16,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr,JAUNE Christophe,16,Mairie,non,,
Unité Service Fourrière,3.85396085248997,768987.49,43.587382545976,6276853.54,1945,avenue de toulouse,34070,34172,Montpellier,intérieur,oui,non,oui,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi, samedi",Heures ouvrables, ,"
334 34 46 68 58", , ,2017-12-1,En fonctionnement, ,ZOLL, , ,AED PLUS,X17I955747, ,oui,2021-02-02,2023-01-14, ,tous les ans, ,2019-11-07,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr,BOURETZ Alain,17,Mairie,non,,
Poste de police Hotel de ville,3.89399058643915,772206.73,43.5988579814707,6278164.64,789,chemin de moulares,34000,34172,Montpellier,intérieur,non,non,oui,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,334 67 34 88 30, , ,2017-12-1,En fonctionnement,-,ZOLL, , ,AED PLUS,X17I955693, ,oui,2021-02-02,2023-01-14,2022-12-1,tous les ans, ,2019-10-07,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr,CABASSUT Jean-Paul,18,Mairie,non,,
Palais des sports Pierre-de-Coubertin,3.81388667740295,765691.88,43.638296406947,6282477.58,25,Rue de Gènes,34080,34172,Montpellier,intérieur,non,non,non,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,334 67 03 02 24, , ,2017-12-1,En fonctionnement, ,ZOLL, , ,AED PLUS,X17J955754, ,oui,2021-02-02,2023-01-14,2022-12-1,tous les ans, ,2019-11-07,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr,Brault Jean-Phillipe,20,Mairie,non,,
Gymnase François Spinosi,3.91771559166406,774122.74,43.5989740313524,6278199.52, ,Rue Pierre Gilles de Gennes,34000,34172,Montpellier,intérieur,non,non,oui,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,334 67 15 90 35, , ,2017-12-1,En fonctionnement, ,ZOLL, , ,AED PLUS,X17I955722, ,oui,2021-02-02,2023-09-09,2022-12-1,tous les ans, ,2018-12-6,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr,Boukhizzou,21,Mairie,non,,
Hotel de Ville Niveau moins 1 Etat Major COC,3.89683159240325,772436.7986,43.5983721693041,6278113.2522,1,place Georges Frêche,34000,34172,Montpellier,intérieur,non,oui,oui,-1, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,334 67 34 59 25, , ,2017-12-1,En fonctionnement, ,ZOLL, , ,AED PLUS,X17I955701, ,oui,2021-02-02,2023-01-14,2022-12-1,tous les ans, ,2019-05-15,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr,MANSART Violette,23,Mairie,non,,
STADE DE LA MOSSON,3.81316551139018,765652.47,43.6218734259555,6280651.86, ,avenue de Heidelberg,0,34172,Montpellier, , , , ,0, , , , , , ,334 67 75 74 16, , , , , , , , , , , , , , , , , , , , , , , , ,45,Métropole, ,,
Gymnase Albert Batteux,3.85685693794324,769237.49,43.5740760118369,6275377.25,150,rue François-Joseph-Gossec,34000,34172,Montpellier,intérieur,oui,non,non,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,334 34 88 76 28, , ,2017-12-1,En fonctionnement, ,ZOLL, , ,AED PLUS,X17I955730, ,oui,2021-02-02,2023-01-14,2022-12-1,tous les ans, ,2019-10-07,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr,MARECHAL,24,Mairie,non,,
Gymnase Bernard-Jouanique,3.8471372225702,768396.22,43.6209658101339,6280579.83, ,rue Jaques-Dalcroze,34080,34172,Montpellier,intérieur,non,non,non,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,"334 67 54 63 99
", , ,2017-12-1,En fonctionnement, ,ZOLL, , ,AED PLUS,X17I955749, ,oui,2020-11-10,2023-01-14,2022-12-1,tous les ans, ,2019-10-07,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr,ROUQUET,25,Mairie,non,,
Stade Municipal Sabathé,3.86890829584205,770181.947,43.5980356410935,6278050.6357,18,rue Mas de Lemasson,34000,34172,Montpellier,intérieur,non,non,non,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,334 67 47 10 22, , ,2017-12-1,En fonctionnement, ,ZOLL, , ,AED PLUS,X17H948908, ,oui,2020-11-10,2023-01-14,2022-12-1,tous les ans, ,2019-09-10,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr,RISCAL STEPHANE,26,Mairie,non,,
Salle de Sports Alain Achille,3.86929205080085,770187.72,43.6186499959297,6280341.91,1,place Marcel-Godechot,34000,34172,Montpellier,intérieur,oui,non,non,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,334 67 63 93 11, , ,2017-12-1,En fonctionnement, ,ZOLL, , ,AED PLUS,X17I955745, ,oui,2021-02-23,2023-01-14,2022-12-1,tous les ans, ,2019-05-15,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr,BATISTA,27,Mairie,non,,
Gymnase Alain Le Hetet,3.90603797982283,773171.0896,43.6056441965939,6278929.9019,237,route de Vauguières,34000,34172,Montpellier,intérieur,oui,non,non,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,334 67 82 76 71, , ,2017-12-1,En fonctionnement, ,ZOLL, , ,AED PLUS,X17I955726, ,oui,2021-02-02,2020-05-28,2022-12-1,tous les ans, ,2019-09-10,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr,Prieto,28,Mairie,non,,
"Maison pour tous   
Albert Dubout",3.8825370479598,771247.5461,43.6263361536399,6281207.948,1071,avenue de la Justice de Castelnau,34090,34172,Montpellier,intérieur,non,non,non,1, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,334 67 02 68 58, , ,2017-12-1,En fonctionnement, ,ZOLL, , ,AED PLUS,X17I955746, ,oui,2021-02-02,2023-01-14,2022-12-1,tous les ans, ,2019-01-10,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr,FERRARIS,29,Mairie,non,,
"Maison pour tous 
Albert Camus",3.86999150922111,770270.87,43.5968636380875,6277921.35,118,allée Maurice-Bonafos,34070,34172,Montpellier,intérieur,non,non,oui,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,334 67 27 33 41, , ,2017-12-1,En fonctionnement, ,ZOLL, , ,AED PLUS,X17I955702, ,oui,2021-02-02,2023-01-14, ,tous les ans, ,2019-01-10,213401722, ,334 67 34 70 00, ,mairie@ville-montpellier.fr,MYR Alexandra,30,Mairie,non,,
Mairie annexe de proximité Mosson,3.81644666304565,765910.29,43.6280352311183,6281339.37,111,"place de Tipasa 
Mas de la Paillade",34080,34172,Montpellier,intérieur,oui,non,oui,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,334 67 34 71 73, , ,2017-12-1,En fonctionnement, ,ZOLL, , ,AED PLUS,X17I955731, ,oui,2021-02-02,2023-01-14,2022-12-1,tous les ans, ,2019-09-10,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr,REDAL,31,Mairie,non,,
"Maison pour tous 
François Villon",3.83948430685078,767785.0525,43.6153031160824,6279943.9211,55,rue des araucarias,34080,34172,Montpellier,intérieur,non,non,oui,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,"334 67 45 04 57
", , ,2017-12-1,En fonctionnement, ,ZOLL, , ,AED PLUS,X17I955714, ,oui,2020-11-10,2023-01-14,2022-12-1,tous les ans, ,2019-01-10,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr,NABLI Mouaiz,32,Mairie,non,,
Ecole  Ludwig-Van-Beethoven,3.85685043630665,769223.8587,43.5849431576184,6276584.9679,280,rue du mas Nouguier 34070 Montpellier,34070,34172,Montpellier,intérieur,non,non,non,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables,Fermeture possible pendant les vacances scolaires,334 67 27 66 71, , ,2019-12-01,En fonctionnement, ,ZOLL, , ,AED PLUS,X19J215824, , ,2021-08-17,2024-12-28,2024-12-01,Tous les ans, ,2019-12-01,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr, ,79,Mairie,non,,
Halles Castellane,3.87698855151732,770819.7041,43.6100748932829,6279395.8104, ,Rue de la Loge,34000,34172,Montpellier,intérieur,oui,non,non,0, , , ,7j/7,Heures ouvrables, ,334 67 34 70 00, , ,2019-12-01,En fonctionnement, ,ZOLL, , ,AED PLUS,X19J215844, , ,2021-08-17,2024-12-28,2024-12-01,Tous les ans, ,2019-12-01,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr, ,113,Mairie,non,,
Halles des quatre saisons,3.81718369697817,765970.5513,43.62737098555,6281266.1664, ,Avenue d'Heidelberg,34000,34172,Montpellier,intérieur,oui,non,non,0, , , ,7j/7,Heures ouvrables, ,334 67 34 70 00, , ,2019-12-01,En fonctionnement, ,ZOLL, , ,AED PLUS,X19215788, , ,2021-08-17,2024-12-28,2024-12-01,Tous les ans, ,2019-12-01,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr, ,114,Mairie,non,,
Les Halles Laissac,3.87665572976354,770797.614,43.6061966446183,6278964.5113,-,Place Alexandre Laissac,34000,0,Montpellier,intérieur,oui,non,non,0, , , ,7j/7,Heures ouvrables, ,334 67 34 70 00, , ,2019-12-01,En fonctionnement, ,ZOLL, , ,AED PLUS,X19J215360, , ,2021-08-17,2024-12-28,2024-12-01,Tous les ans, ,2019-12-01,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr, ,115,Mairie,non,,
Salle Guillaume-de-Nogaret,3.87039545403024,770284.7395,43.6121743782168,6279623.2408,-,rue Pitot,34000,34172,Montpellier,intérieur,non,non,non,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,334 67 34 71 33, , ,2019-12-01,En fonctionnement, ,ZOLL, , ,AED PLUS,X19J215488, , ,2021-08-17,2024-12-28,2024-12-01,Tous les ans, ,2019-12-01,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr, ,116,Mairie,non,,
Maison pour tous Georges Brassens,3.81801006500697,766020.2207,43.6421717315658,6282911.6888,-,Place Jacques-Brel,34080,0,Montpellier,intérieur,non,non,oui,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,334 67 40 40 11, , ,2019-12-01,En fonctionnement, ,ZOLL, , ,AED PLUS,X19J215732, , ,2021-08-17,2024-12-28,2024-12-01,Tous les ans, ,2019-12-01,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr, ,117,Mairie, ,,
STADE Y. DU MANOIR,3.85003952477294,768663.27,43.5936066049919,6277541.83, ,avenue de la Vannière,0,34172,Montpellier, , , , ,0, , , , , , ,334 67 13 60 00, , , , , , , , , , , , , , , , , , , , , , , , ,46,Métropole, ,,
Zoo de Lunaret,3.87322582931372,770478.6004,43.6403947990802,6282761.9414,50,avenue agropolis,34090,34172,Montpellier,intérieur,non,non,non,0,sac 1, , ,"mardi, mercredi, jeudi, vendredi, samedi, dimanche",Heures ouvrables, ,334 67 54 45 20, , ,2013-07-1,En fonctionnement, ,ZOLL, , ,AED PLUS,X13D599837, ,oui,2021-03-02,2023-09-09,2022-07-01,tous les ans, ,2019-04-16,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr,CORNIER,0,Mairie,non,,
Zoo de Lunaret,3.87324728568983,770480.3965,43.6403423899249,6282756.1363,50,avenue agropolis,34090,34172,Montpellier,intérieur,non,non,non,0,Ambulance, , ,"mardi, mercredi, jeudi, vendredi, samedi, dimanche",Heures ouvrables, ,334 67 54 45 20, , ,2013-07-1,En fonctionnement, ,ZOLL, , ,AED PLUS,X13D599630, ,oui,2021-03-16,2023-09-09,2022-11-1,Tous les ans, , ,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr,CORNIER,0,Mairie,non,,
DAE EXTERIEUR COMEDIE - COMMISSARIAT POLICE,3.88166695350884,771198.1392,43.6095475084495,6279341.4079,2,Allée Jules Milhau,34000,34172,Montpellier,extérieur,oui,non,non,0, , , ,7j/7,24h/24, ,334 67 34 70 26, , ,2019-04-09,En fonctionnement, ,ZOLL, , ,AED PLUS,X18J066406, , ,2020-09-22,2024-01-06,2024-04-01,Tous les ans,oui,2019-04-09,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr,AUJOULAT LOIC,52,Mairie,non,,
Maison pour tous L'Escoutaïre,3.88435184442179,771432.4927,43.5954502975362,6277777.1655,67,rue des Razeteurs,34070,34172,Montpellier,intérieur,non,non,oui,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,334 67 65 32 70, , ,2019-11-15,En fonctionnement, ,ZOLL, , ,AED PLUS,X17H948878, , ,2021-05-25,2023-09-16,2024-11-01,Tout les ans, ,2019-11-15,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr, ,56,Mairie,non,,
Vestiaire/tribune CLAUDE BEAL,3.89668282061293,772433.8637,43.5911769531706,6277313.4861,419,avenue du Dr Jacques Fourcade 34000 Montpellier,34000,34172,MONTPELLIER,intérieur,non,non,non,0,Dae dans le couloir des vestiaires, , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,334 67 65 70 86, , ,2019-11-01,En fonctionnement, ,ZOLL, , ,AED PLUS,X19J212194, , ,2021-10-26,2024-11-03,2024-11-01,Tout les ans, ,2019-11-01,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr, ,57,Mairie,non,,
Salle de sport Petit bard,3.83642322163493,767535.7598,43.6171136119684,6280142.5036,1184,Rue Paul Rimbaud,34000,34172, ,intérieur,non,non,non,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,334 67 45 21 89, , ,2019-11-01,En fonctionnement, ,ZOLL, , ,AED PLUS,X19J212208, , ,2021-10-26,2024-11-03,2024-11-01,Tout les ans, ,2019-11-01,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr, ,58,Mairie,non,,
Gymnase François Rabelais,3.83249755768483,767208.0816,43.6262609664851,6281155.7218, ,Avenue de Malbosc,34000,34172,Montpellier,intérieur,non,non,non,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,334 99 63 46 29, , ,2019-11-01,En fonctionnement, ,ZOLL, , ,AED PLUS,X19J212204, , ,2021-10-26,2024-11-03,2019-11-01,tous les ans, ,2019-11-01,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr, ,59,Mairie,non,,
Gymnase Marcel Cerdan,3.84723629666258,768429.7525,43.5995531419481,6278200.2597,260,rue du Pas-Du-Loup,34070,34172,Montpellier,intérieur,non,non,non,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,334 67 42 68 16, , ,2019-11-01,En fonctionnement, ,ZOLL, , ,AED PLUS,X19J214096, , ,2021-10-26,2024-11-03,2024-11-01,Tous les ans, ,2019-11-01,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr, ,0,Mairie,non,,
Gymnase Roger Couderc,3.86958483277162,770237.6088,43.5972023004916,6277958.625, ,Avenue Villeneuve d'Angoulème,34070,34172,Montpellier,intérieur,non,non,non,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,334 67 42 61 77, , ,2019-11-01,En fonctionnement, ,ZOLL, , ,AED PLUS,X19J214159, , ,2021-10-26,2024-11-03,2024-11-01,Tout les ans, ,2019-11-01,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr, ,0,Mairie,non,,
Gymnase Les Arts,3.88251807333355,771256.3408,43.6180224805144,6280284.0187, ,Rue de Substantion,34000,34172,Montpellier,intérieur,non,non,non,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,334 67 79 76 77, , ,2019-11-01,En fonctionnement, ,ZOLL, , ,AED PLUS,X19J214149, , ,2021-10-26,2024-11-03,2024-11-01,Tous les ans, ,2019-11-01,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr, ,0,Mairie,non,,
Gymnase Les Garrigues,3.81542066540721,765811.1935,43.6422140271842,6282914.2276, ,avenue du Comté-de-Nice,34080,34172,Montpellier,intérieur,non,non,non,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,334 67 61 94 85, , ,2019-11-01,En fonctionnement, ,ZOLL, , ,AED PLUS,X19J214439, , ,2021-10-26,2024-11-03,2024-11-01,Tous les ans, ,2019-11-01,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr, ,0,Mairie,non,,
Gymnase Bessière,3.90819879603806,773337.2868,43.6121384500637,6279653.6276,175,rue Edouard-Villalonga,34000,34172,Montpellier,intérieur,non,non,non,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,334 67 81 45 95, , ,2019-11-01,En fonctionnement, ,ZOLL, , ,AED PLUS,X19J214405, , ,2021-10-26,2024-11-03,2024-11-01,Tous les ans, ,2019-11-01,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr, ,0,Mairie,non,,
